"Year-Week","actual","seasonally adjusted","HW fitted","HW fitted level"
"2009 01","540.83","1315.49242375697","1162.92022891645","1162.92022891645"
"2009 02","775.6","1278.94327281358","1174.62751962051","1174.62751962051"
"2009 03","1088.54","1417.46949922867","1182.63195875781","1182.63195875781"
"2009 04","717.79","1097.40883885131","1200.65169923144","1200.65169923144"
"2009 05","620.49","1039.97374451169","1192.72958615669","1192.72958615669"
"2009 06","669.22","1163.20459356829","1181.00820372033","1181.00820372033"
"2009 07","676.28","1157.14478224754","1179.6420829809","1179.6420829809"
"2009 08","766.06","1055.57440488905","1177.91580225185","1177.91580225185"
"2009 09","757.8","689.187235077726","1168.52820508472","1168.52820508472"
"2009 10","806.16","1264.94742375697","1131.74703346886","1131.74703346886"
"2009 11","894.95","1309.02346149282","1141.96787149657","1141.96787149657"
"2009 12","1164.39","1291.28940488905","1154.78651356873","1154.78651356873"
"2009 13","1642.73","1295.54402753056","1165.26076172582","1165.26076172582"
"2009 14","1084.6","1215.04770677584","1175.25776064325","1175.25776064325"
"2009 15","1408.49","1440.25931054942","1178.31095435892","1178.31095435892"
"2009 16","1261.48","1189.50440488905","1198.41098345386","1198.41098345386"
"2009 17","1188.02","1033.86581998339","1197.72755680101","1197.72755680101"
"2009 18","1181.67","1072.85657470037","1185.15398800493","1185.15398800493"
"2009 19","1736.86","1171.67695205886","1176.53709379138","1176.53709379138"
"2009 20","1689.35","1491.87817847395","1176.16416153996","1176.16416153996"
"2009 21","2318.49","1394.56657470037","1200.38977997231","1200.38977997231"
"2009 22","2616.64","1229.68242375697","1215.2895078437","1215.2895078437"
"2009 23","1328.28","1102.9054426249","1216.39391648678","1216.39391648678"
"2009 24","1411.05","1222.08280111546","1207.68562886956","1207.68562886956"
"2009 25","1317.96","1084.54515960603","1208.79036411294","1208.79036411294"
"2009 26","1712.25","1214.70798979471","1199.25668250556","1199.25668250556"
"2009 27","2605.3","1416.777832562","1200.44230447542","1200.44230447542"
"2009 28","1226.1","1023.90330426012","1217.04233385543","1217.04233385543"
"2009 29","906.3","429.47701495194","1202.22223660157","1202.22223660157"
"2009 30","1322.28","945.038147027412","1142.92733716408","1142.92733716408"
"2009 31","1769.66","1530.30305268779","1127.74274682282","1127.74274682282"
"2009 32","2088.71","1714.81286400854","1158.63232360057","1158.63232360057"
"2009 33","1501.48","1038.48515960603","1201.30961009634","1201.30961009634"
"2009 34","1656.95","1294.2533671532","1188.8156351777","1188.8156351777"
"2009 35","1375.93","1110.78515960603","1196.9061668811","1196.9061668811"
"2009 36","1101.98","1260.62978224754","1190.29786142315","1190.29786142315"
"2009 37","1007.82","1197.72487658716","1195.69462617263","1195.69462617263"
"2009 38","1014.87","1244.95893319093","1195.85041295822","1195.85041295822"
"2009 39","967.88","1160.27176337961","1199.61864689502","1199.61864689502"
"2009 40","1254.68","1232.2021407381","1196.59945061162","1196.59945061162"
"2009 41","1730.54","1637.84959356829","1199.33134447729","1199.33134447729"
"2009 42","949.92","1037.11251809659","1232.98007468341","1232.98007468341"
"2009 43","1004.84","1303.04619734188","1217.95060993164","1217.95060993164"
"2009 44","1156.77","1332.28619734188","1224.48023205896","1224.48023205896"
"2009 45","895.47","1308.84610300225","1232.75248491944","1232.75248491944"
"2009 46","1003.45","1321.80789545509","1238.59136079423","1238.59136079423"
"2009 47","1101.95","1428.32563130414","1244.97679795516","1244.97679795516"
"2009 48","1813.58","1796.29534828527","1259.04566610319","1259.04566610319"
"2009 49","887.97","1324.14789545509","1300.27033496598","1300.27033496598"
"2009 50","1073.06","1468.36317847395","1302.10252688169","1302.10252688169"
"2009 51","1410.78","1649.0304426249","1314.86017110954","1314.86017110954"
"2009 52","1177.44","1261.35770677584","1340.50198951147","1340.50198951147"
"2009 53","557.7","1232.5154426249","1334.42902761616","1334.42902761616"
"2010 01","434.72","1209.38242375697","1326.60891355519","1326.60891355519"
"2010 02","747.55","1250.89327281358","1317.61379753343","1317.61379753343"
"2010 03","781.66","1110.58949922867","1312.4941452951","1312.4941452951"
"2010 04","1065.05","1444.66883885131","1297.0014378036","1297.0014378036"
"2010 05","1090.69","1510.17374451169","1308.33236997893","1308.33236997893"
"2010 06","901.93","1395.91459356829","1323.82022246891","1323.82022246891"
