Location,EndpointSerialNumber,Date,LocalTime,Status,Time_Since_Last_CDO_Activity,LocalTime (2),Time_Since_Last_CDO_Activity (2),DoorStatus_seconds
Warehouse,CD120001A68D,10/31/2015,0:09:07,Close Limit,0:00:00,12:09:07 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:09:07,Close Limit,0:00:00,12:09:07 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:09:11,Close Limit,0:00:00,12:09:11 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:09:13,Close Limit,0:00:00,12:09:13 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:09:14,Close Limit,0:00:00,12:09:14 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:09:16,Close Limit,0:00:00,12:09:16 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:09:17,Close Limit,0:00:00,12:09:17 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:09:19,Close Limit,0:00:00,12:09:19 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:09:21,Close Limit,0:00:00,12:09:21 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:09:23,Close Limit,0:00:00,12:09:23 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:09:32,Close Limit,0:00:00,12:09:32 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:09:37,Close Limit,0:00:00,12:09:37 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:09:41,Close Limit,0:00:00,12:09:41 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:09:45,Close Limit,0:00:00,12:09:45 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:09:47,Close Limit,0:00:00,12:09:47 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:09:48,Close Limit,0:00:00,12:09:48 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:09:52,Close Limit,0:00:00,12:09:52 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:09:57,Close Limit,0:00:00,12:09:57 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:10:00,Close Limit,0:00:00,12:10:00 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:10:03,Close Limit,0:00:00,12:10:03 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:10:06,Close Limit,0:00:00,12:10:06 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:10:12,Close Limit,0:00:00,12:10:12 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:10:16,Close Limit,0:00:00,12:10:16 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:10:21,Close Limit,0:00:00,12:10:21 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:10:22,Close Limit,0:00:00,12:10:22 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:10:27,Close Limit,0:00:00,12:10:27 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:10:27,Close Limit,0:00:00,12:10:27 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:10:34,Close Limit,0:00:00,12:10:34 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:10:35,Close Limit,0:00:00,12:10:35 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:10:36,Close Limit,0:00:00,12:10:36 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:10:36,Close Limit,0:00:00,12:10:36 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:10:38,Close Limit,0:00:00,12:10:38 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:10:40,Close Limit,0:00:00,12:10:40 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:10:41,Close Limit,0:00:00,12:10:41 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:10:43,Close Limit,0:00:00,12:10:43 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:10:59,Close Limit,0:00:00,12:10:59 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:11:04,Close Limit,0:00:00,12:11:04 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:11:11,Close Limit,0:00:00,12:11:11 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:11:15,Close Limit,0:00:00,12:11:15 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:11:15,Close Limit,0:00:00,12:11:15 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:11:16,Close Limit,0:00:00,12:11:16 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:11:16,Close Limit,0:00:00,12:11:16 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:11:16,Close Limit,0:00:00,12:11:16 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:11:17,Close Limit,0:00:00,12:11:17 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:11:28,Close Limit,0:00:00,12:11:28 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:11:34,Close Limit,0:00:00,12:11:34 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:11:40,Close Limit,0:00:00,12:11:40 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:11:40,Close Limit,0:00:00,12:11:40 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:11:43,Close Limit,0:00:00,12:11:43 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:11:59,Close Limit,0:00:00,12:11:59 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:12:00,Close Limit,0:00:00,12:12:00 AM,12:00:00 AM,0
Warehouse,CD120001A68C,10/31/2015,0:12:00,Close Limit,0:00:00,12:12:00 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:12:02,Close Limit,0:00:00,12:12:02 AM,12:00:00 AM,0
Warehouse,CD120001A685,10/31/2015,0:12:02,Close Limit,0:00:00,12:12:02 AM,12:00:00 AM,0
Warehouse,CD120001A67B,10/31/2015,0:12:07,Close Limit,0:00:00,12:12:07 AM,12:00:00 AM,0
Warehouse,CD120001A68A,10/31/2015,0:12:20,Close Limit,0:00:00,12:12:20 AM,12:00:00 AM,0
Warehouse,CD120001A663,10/31/2015,0:12:24,Close Limit,0:00:00,12:12:24 AM,12:00:00 AM,0
Warehouse,CD120001A68D,10/31/2015,0:12:29,Close Limit,0:00:00,12:12:29 AM,12:00:00 AM,0
Warehouse,CD120001A689,10/31/2015,0:12:41,Close Limit,0:00:00,12:12:41 AM,12:00:00 AM,0
Warehouse,CD120001A686,10/31/2015,0:12:42,Close Limit,0:00:00,12:12:42 AM,12:00:00 AM,0
Warehouse,CD120001A67F,10/31/2015,0:12:42,Close Limit,0:00:00,12:12:42 AM,12:00:00 AM,0
Warehouse,CD120001A67E,10/31/2015,0:12:54,Close Limit,0:00:00,12:12:54 AM,12:00:00 AM,0
